epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.01255,0.50042,1.12127,3.89549,0.94468,0.24131,0.39375,0.14047,0.1322,0.25348,0.43542,0.15039,0.13021,0.3184,0.95501,22.7163,0.84055,4.545e-05,4.545e-05,4.545e-05
2,6.50271,0.34807,0.721,1.55831,0.84926,0.3481,0.48542,0.2839,0.27635,0.3481,0.48542,0.27854,0.25828,0.24843,0.81253,28.4807,0.79766,9.99873e-05,9.99873e-05,9.99873e-05
3,9.57868,0.33139,0.59022,1.07316,0.82599,0.17197,0.72708,0.28049,0.26615,0.17197,0.72708,0.28012,0.25409,0.28263,0.59235,42.9051,0.78795,0.000154513,0.000154513,0.000154513
4,12.3474,0.30879,0.52228,0.9069,0.81839,0.13742,0.87292,0.26244,0.24886,0.13742,0.87292,0.26251,0.23845,0.3155,0.62164,inf,0.79054,0.000209019,0.000209019,0.000209019
5,15.1057,0.34498,0.55011,0.72704,0.82301,0.14899,0.88333,0.24531,0.23064,0.14899,0.88333,0.24531,0.22152,0.28903,0.65426,34.1871,0.79512,0.000263496,0.000263496,0.000263496
6,17.9626,0.34046,0.50235,0.69861,0.82805,0.1621,0.80417,0.28938,0.26634,0.1621,0.80417,0.28938,0.26467,0.35026,0.61455,31.0894,0.79935,0.000317934,0.000317934,0.000317934
7,20.8244,0.37959,0.48646,0.76882,0.84645,0.14558,0.94583,0.25128,0.23476,0.14558,0.94583,0.25128,0.20914,0.37599,0.95238,31.7422,0.81616,0.000372326,0.000372326,0.000372326
8,23.621,0.38133,0.49115,0.7172,0.84053,0.03104,0.69583,0.04871,0.04637,0.03104,0.69583,0.04851,0.04561,0.46685,2.03888,inf,0.94636,0.000426662,0.000426662,0.000426662
9,26.4254,0.39533,0.6354,0.66989,0.84688,0.03202,0.53125,0.03656,0.03565,0.03189,0.48958,0.03632,0.03111,0.39178,2.8038,inf,0.82435,0.000480934,0.000480934,0.000480934
10,29.2719,0.40053,0.54097,0.64952,0.84122,0.11693,0.71667,0.16454,0.15124,0.11693,0.71667,0.16454,0.14527,0.34627,1.15471,19.5732,0.80889,0.000535132,0.000535132,0.000535132
11,32.0818,0.41629,0.5427,0.75609,0.83839,0.11609,0.73958,0.16942,0.1522,0.11609,0.73958,0.16577,0.14096,0.43633,0.90637,15.652,0.83526,0.000589248,0.000589248,0.000589248
12,34.8844,0.40637,0.67522,0.69557,0.84397,0.13836,0.58542,0.21158,0.20055,0.13836,0.58542,0.21158,0.19083,0.42643,0.90065,23.5074,0.83532,0.000643273,0.000643273,0.000643273
13,37.6911,0.42379,0.53153,0.75254,0.85114,0.08813,0.84397,0.12311,0.11392,0.08813,0.84397,0.1231,0.114,0.43541,0.93739,inf,0.84293,0.000697198,0.000697198,0.000697198
14,40.55,0.3991,0.51229,0.67664,0.83198,0.13959,0.70208,0.22163,0.19649,0.13131,0.63958,0.20363,0.14609,0.4933,2.34329,23.6317,0.84839,0.000751015,0.000751015,0.000751015
15,43.3774,0.39044,0.61317,0.72984,0.83283,0.1644,0.66827,0.2828,0.26166,0.1644,0.66827,0.2828,0.22892,0.4514,1.23001,19.0567,0.83225,0.000804714,0.000804714,0.000804714
16,46.2491,0.40966,0.68853,0.656,0.83676,0.10713,0.63333,0.11596,0.10098,0.10713,0.63333,0.11595,0.08396,0.55176,1.99402,inf,0.86707,0.000858287,0.000858287,0.000858287
17,49.0847,0.4706,0.81323,0.82288,0.86097,0.12076,0.77083,0.17333,0.14852,0.12076,0.77083,0.17332,0.10881,0.59989,2.32635,105.763,0.89836,0.000902699,0.000902699,0.000902699
18,51.8577,0.4336,0.72595,0.73025,0.85145,0.12372,0.20833,0.09449,0.06106,0.11091,0.15625,0.077,0.044,2.27756,13.7219,23.5531,2.26707,0.000901889,0.000901889,0.000901889
19,54.6469,0.45302,0.59216,0.86434,0.84519,0.00983,0.2875,0.01145,0.00465,0.0088,0.08333,0.0097,0.00562,3.20895,35.918,460.356,4.01434,0.00090103,0.00090103,0.00090103
20,57.4827,0.45409,0.5558,0.77395,0.84388,0.09433,0.125,0.02498,0.02281,0.09418,0.09375,0.02488,0.02204,3.05385,55.8398,145.474,3.98493,0.000900123,0.000900123,0.000900123
21,60.3171,0.44172,0.54877,0.7033,0.83931,0.09834,0.2,0.07106,0.04317,0.09341,0.06875,0.03478,0.02858,1.80823,31.9995,24.5937,1.97956,0.000899167,0.000899167,0.000899167
22,63.0692,0.45484,0.5585,0.68427,0.84842,0.13095,0.64583,0.17751,0.15512,0.30685,0.3015,0.11135,0.0511,0.55921,13.7549,6.13743,0.88194,0.000898164,0.000898164,0.000898164
23,65.9297,0.42867,0.50814,0.69792,0.83939,0.11633,0.59167,0.15724,0.14615,0.3038,0.25393,0.12964,0.07104,0.47367,8.29102,5.77226,0.82758,0.000897112,0.000897112,0.000897112
24,68.7053,0.40644,0.52766,0.6009,0.85049,0.15491,0.73333,0.25376,0.23217,0.15491,0.73333,0.25164,0.20376,0.44919,1.1602,6.3239,0.82562,0.000896012,0.000896012,0.000896012
25,71.4986,0.41872,0.56777,0.66269,0.84651,0.1621,0.74708,0.24161,0.22556,0.1621,0.74708,0.23992,0.2043,0.39651,0.91232,5.40968,0.81943,0.000894864,0.000894864,0.000894864
26,74.3329,0.40784,0.48213,0.59355,0.84284,0.15467,0.81436,0.22306,0.20618,0.15467,0.81436,0.22306,0.19249,0.37907,0.8741,6.99969,0.80999,0.000893668,0.000893668,0.000893668
27,77.2001,0.38923,0.464,0.58127,0.84784,0.15622,0.80112,0.20844,0.19415,0.15622,0.80112,0.20811,0.18241,0.41501,0.90191,7.16032,0.82627,0.000892425,0.000892425,0.000892425
